chain,draw,warmup,beta0,beta[1],beta[2],beta[3],sigmasq,sigma,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20],mu[21],b0,b[1],b[2],b[3],outlier_3,outlier_4,outlier_21,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__
0,0,0,18.92837734471736,3.1556925118271906,-2.1908576589992017,-4.3714862700552946,121.6847278820304,11.031080086828778,16.989105814613158,18.323447497789264,18.78154665401741,18.789634225986973,20.0112319759287,19.722007682382387,16.202309040989302,22.70798080700464,23.06015588992313,22.904921134410205,23.60420122670677,23.37388413020759,23.221184411464876,23.218408143865197,15.101604741468481,15.40978044655359,15.626698666713322,14.305453071149694,14.069824670280632,17.681868448392496,14.390675559216781,25.549341784853738,0.11377041444975085,-0.07761737775646224,-0.1526997187427156,0.0,0.0,0.0,-60.02029702413115,0.7701597689910659,0.07283455921088153,4,27,0,62.71829943220491
0,1,0,18.568418525506935,8.09274650790192,8.623133375275465,-18.964354524702372,71.1515618092741,8.43513851749182,20.537807594131845,18.39881812394887,20.386141031877784,18.65953265203003,23.959060406507128,19.18096170819235,7.765136805827984,22.00495218327828,20.92704894875339,21.538047110029513,21.929118902151252,21.572177013479678,20.909736044170042,21.136320668801034,15.671055009453351,16.769352323441634,20.352926347177718,14.675566718849122,15.818648585394307,17.19463061169651,10.549750246453783,22.439893309206823,0.2917632566512851,0.3054990806380621,-0.6624409693096368,0.0,0.0,0.0,-60.34389120842626,0.9817409940950589,0.07283455921088153,5,31,0,61.40752873526896
0,2,0,16.428100664407363,24.29069384413729,-33.41370946154123,8.423696825018926,151.9200836289168,12.325586542997328,15.15598236089663,16.87544138701911,15.992700788176034,16.930602430289632,14.576627500041432,17.040924516830678,15.82320640830715,16.76960678307414,19.4727762431894,17.10522443180806,17.187965996713842,16.298436957304197,16.592683823585222,17.454632341359613,17.981127116914756,16.530684866578333,14.682462103986394,8.32720847133392,5.63782927203628,31.05760974309818,17.49638041001168,17.73043755771224,0.8757387785920148,-1.1837759056906707,0.2942468662810248,0.0,0.0,0.0,-60.65813213721908,0.9858176426198891,0.07283455921088153,6,63,0,62.31423369476238
0,3,0,17.070876000624565,-0.31204570483744987,-7.598830459895188,6.57417323036883,120.10851235132151,10.959402919471549,14.692377860013409,16.75532343864582,16.066399117789718,16.958598633580394,15.121467111297447,17.365149023449536,20.342716449056777,18.074698513752583,18.995216810272257,18.456796350238882,18.76170914264074,18.72214035290942,18.951781793194787,18.88971298545882,15.88206754313952,15.484853470304751,13.802092036190682,15.254824513573013,14.38512501578698,17.697125407274438,17.828220444545927,19.90608896013168,-0.01125000900232367,-0.2692102300166875,0.2296414402853683,0.0,0.0,0.0,-59.66029268745763,0.9492372309241766,0.07283455921088153,6,63,0,62.09618666644622
0,4,0,16.02853222635927,-3.098010731701247,-5.068651016084646,6.492513447035521,105.36102363045356,10.264551798809997,13.276498015384323,15.570961695688014,14.89059471106307,15.828854741449966,14.014542782450112,16.34464083297387,19.802992265830575,17.373947856355127,18.153299457099216,17.79415663555157,18.1809962041945,18.22821378829566,18.45500278317064,18.278838676188506,14.236544042443644,13.959130159675817,12.211556621783,14.608612251794696,13.893733912491093,14.950080207824932,16.545979111836388,19.56830390499826,-0.11169084554164825,-0.1795714107738213,0.2267889948749817,0.0,0.0,0.0,-60.037600082754224,0.9870639697237859,0.07283455921088153,5,63,0,60.43171178998438
0,5,0,13.997903282949554,-0.5148407178896164,-13.915238296933644,13.484942497634531,101.81159139506738,10.090173011156319,10.642380216797681,13.72672261401171,12.313601218145282,13.888753740849483,10.120430018539011,14.21281599452503,20.675703402378357,14.202414043264614,15.780951819656037,14.794977853681752,15.038024543938413,15.016078026240084,15.48711849152889,15.428049445808337,13.597039956132683,12.714028071275619,9.644738589286105,12.329023418667923,10.790993423985936,16.359070357783388,17.19305369544434,16.23820507999721,-0.018561264011110495,-0.49298698298714194,0.4710404652888089,0.0,0.0,0.0,-61.53316760975437,0.9996640939352026,0.07283455921088153,5,31,0,64.46160706286334
0,6,0,20.201834002701144,-5.040456919922052,-2.9677112912800907,8.963746829778954,253.57350557579292,15.92399150890859,19.135144497715146,20.228185218654417,19.288851407293155,20.12318174502564,17.61829158139561,19.913174797768086,25.54456241392339,18.683182283495107,19.127820213033868,18.91754094872728,18.76003573828411,18.968007376584573,19.281118647038326,19.125648745552255,21.355209568255713,20.884456928834275,19.163294516554917,22.259334324234292,21.788445526288335,20.138382017396935,23.934645560668617,18.60063137740837,-0.1817207698932644,-0.10513963215329504,0.3131112704537538,0.0,0.0,0.0,-62.98838341022535,0.9564397476306971,0.07283455921088153,6,63,0,65.11469460964116
0,7,0,22.89500660577399,3.772593292891992,-12.850281622963308,12.542400851693385,265.261458056085,16.286849236610653,23.603656990831013,23.654580016300617,22.34022995495106,23.179099925164397,19.67416642823224,22.228139742891955,28.25892634273362,18.617895844625643,19.609918177552906,18.699402463389998,17.986182326685665,17.96904115672073,18.40715784383725,18.662039059370297,27.75744517566808,26.626330585901997,24.71085059990721,25.201853209612683,24.09096085390136,29.814253752442667,29.703008270532415,16.28463860368919,0.13601119274898993,-0.45525785708145416,0.4381166871165195,0.0,0.0,0.0,-64.44700051555076,0.9275852848913009,0.07283455921088153,5,31,0,66.0399377618647
0,8,0,24.701158941233455,-10.64462330706803,-5.777466335696291,19.304537235507933,223.08478359650786,14.936023018076394,23.108616118484022,24.934467601785993,22.91149608302856,24.590963665202196,19.19637294851571,23.903955792034605,36.16233329977133,20.58016047750615,21.406222792647277,20.996856364654114,20.48160045977842,20.951241085367652,21.62556492495346,21.327676267656134,28.132126227309016,27.08136720543472,23.55068007279555,30.032677107130336,29.120738807843257,25.140789340140234,33.48843112386383,19.610156584737158,-0.3837646414432806,-0.2046832139965813,0.674323839585811,0.0,0.0,0.0,-65.44847743712275,0.9931471805979857,0.07283455921088153,6,63,0,66.84119117566681
0,9,0,24.557160443700603,-4.424048860723185,4.3538946398706075,4.8476243529054,199.3794110079253,14.12017744250848,27.51825373870387,25.411417890497205,24.903423014477866,24.755085896073744,23.40043289335551,23.44242190722683,27.75454918613567,19.329849688612384,18.698434060763486,19.00693231813457,18.022434326499383,18.346015080524708,18.515346705864484,18.519931949050893,29.856741349509786,29.51349285564382,29.482001095240328,31.107807026290878,31.575139655533913,26.00460067806191,30.536058001511424,15.238271976933602,-0.1594977554194569,0.15424912868554197,0.1693316253397795,0.0,0.0,0.0,-64.8904799102997,0.9683161547687724,0.07283455921088153,5,31,0,66.77777793689013
